,article_name,authors,abstract,ideas_ref_num,ideas_cite_num,handle,doi,url,scrape_time,volume,journal,journal_url
0,Minimum Wage and Outward FDI from China,"['Fan, Haichao', 'Lin, Faqin', 'Tang, Lixin']","We construct a comprehensive manufacturing firm-level dataset to study the effects of minimum wage increase in China on firms’ probability of conducting outward foreign direct investment (outward FDI). Our baseline results show that the increase in minimum wage can explain about 32.3% of the growth in outward FDI from China over 2001–2012. We use three different strategies to address potential endogeneity concerns. First, we control for a number of local macroeconomic variables. Second, to rule out spatially-correlated confounding factors, we employ a regression design based on bordering cities across provincial borders. Lastly, we conduct a placebo test by studying the effects of minimum wage increase on FDI to tax-haven destinations. We then examine the heterogeneous effects of minimum wage increase. We find the effects on outward FDI to be stronger for more productive firms, those with foreign ownership, those in the more labor-intensive sectors, those located in the coastal region, for the years after 2004 and for production-oriented FDI projects.",41,3,RePEc:eee:deveco:v:135:y:2018:i:c:p:1-19,10.1016/j.jdeveco.2018.06.013,https://ideas.repec.org/a/eee/deveco/v135y2018icp1-19.html,2020-03-09 19:07:24," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
1,Improving or disappearing: Firm-level adjustments to minimum wages in China,"['Mayneris, Florian', 'Poncet, Sandra', 'Zhang, Tao']","We here consider how Chinese firms react to higher minimum wages, exploiting the 2004 minimum-wage Reform in China. After this reform, we find that the wage costs for surviving firms that were more exposed to minimum-wage hikes rose, but also that their productivity significantly improved, allowing them to absorb the cost shock without any change in their profitability and with limited job losses. Our results are robust to pre-existing trend analysis and an IV strategy. However, the survival probability of the firms that were most exposed to minimum-wage hikes fell after the Reform. Firm-level productivity gains partly came from better inventory management and greater investment in capital, at the cost of a reduction in firm-level cash.",56,3,RePEc:eee:deveco:v:135:y:2018:i:c:p:20-42,10.1016/j.jdeveco.2018.06.010,https://ideas.repec.org/a/eee/deveco/v135y2018icp20-42.html,2020-03-09 19:07:27," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
2,Mobile money and risk sharing against village shocks,"['Riley, Emma']","Households in developing countries have gained increased access to remittances through the recent introduction of mobile money services. I examine the impact of these mobile money services on consumption after a rainfall shock, such as a flood or drought, for both users of mobile money and for household that don't use mobile money but who reside in villages with other users. This allows me to determine the extent that remittances received via mobile money are shared within villages, creating wider benefits to the community. Using a difference-in-difference fixed effects specification, I find that after a village-level rainfall shock it is only users of mobile money who are able to prevent a drop in their consumption. There are no spillover effects to other members of the village. This finding has implications for how new technologies might change traditional risk sharing arrangements, and who might benefit and lose out from their spread.",16,3,RePEc:eee:deveco:v:135:y:2018:i:c:p:43-58,10.1016/j.jdeveco.2018.06.015,https://ideas.repec.org/a/eee/deveco/v135y2018icp43-58.html,2020-03-09 19:07:31," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
3,Quality and the Great Trade Collapse,"['Chen, Natalie', 'Juvenal, Luciana']","We investigate theoretically and empirically the heterogeneous effects of the global financial crisis on international trade flows differentiated by quality. Our model, which identifies the effect of quality on trade that arises on the demand side, through the relationship between income and quality choice, predicts that a negative income shock disproportionately reduces the demand for higher relative to lower quality traded goods (a “flight from quality”). Using a unique dataset of firm-level wine exports for an emerging market economy, Argentina, combined with experts wine ratings as a measure of quality, we find strong evidence of a flight from quality as we show that the values, volumes, unit values, and markups of higher quality exports contracted more sharply during the crisis. Our results imply that the exports of countries producing higher quality goods are likely to collapse more severely during recessions.",86,7,RePEc:eee:deveco:v:135:y:2018:i:c:p:59-76,10.1016/j.jdeveco.2018.06.012,https://ideas.repec.org/a/eee/deveco/v135y2018icp59-76.html,2020-03-09 19:07:35," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
4,An adverse social welfare effect of a doubly gainful trade,"['Stark, Oded', 'Zawojska, Ewa', 'Kohler, Wilhelm', 'Szczygielski, Krzysztof']","Acknowledging individuals' distaste for low relative income renders trade less appealing when trade is viewed as a technology that integrates economies by merging separate social spheres into one. We define a “trembling trade” as a situation in which gains from trade are overtaken by losses of relative income, with the result that global social welfare is reduced. A constructive example reveals that a “trembling trade” can arise even when trade is doubly gainful in that it increases the income of every individual and narrows the income gap between the trading populations.",36,0,RePEc:eee:deveco:v:135:y:2018:i:c:p:77-84,10.1016/j.jdeveco.2018.03.004,https://ideas.repec.org/a/eee/deveco/v135y2018icp77-84.html,2020-03-09 19:07:38," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
5,Vehicle ownership restrictions and fertility in Beijing,"['Liu, Antung A.', 'Linn, Joshua', 'Qin, Ping', 'Yang, Jun']","This paper studies the effects of vehicle ownership restrictions on fertility. We examine Beijing's license plate lottery system, which began in 2011 and restricts the number of new and used vehicles people can obtain. Leveraging a randomized survey, we show that one unintended consequence of the vehicle restrictions has been to reduce the number of births in the households of lottery entrants between 2011 and 2014. The vehicle restrictions reduce births in households of lottery participants by 35 percent, implying a remarkable 6 percent reduction in births across the entire city. We report changes in household structure and age composition consistent with this change in births.",15,0,RePEc:eee:deveco:v:135:y:2018:i:c:p:85-96,10.1016/j.jdeveco.2018.07.005,https://ideas.repec.org/a/eee/deveco/v135y2018icp85-96.html,2020-03-09 19:07:42," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
6,Black Movement: Using discontinuities in admissions to study the effects of college quality and affirmative action,"['Francis-Tan, Andrew', 'Tannuri-Pianto, Maria']","The recent adoption of race-targeted policies makes Brazil an insightful place to study affirmative action. In this paper, we estimate the effects of racial quotas at the University of Brasilia, which reserved 20% of admissions slots for persons who self-identified as black. To do so, we link the admissions outcomes of high-performing applicants in 2004–2005 to their education and labor market outcomes in 2012. We adopt methods that make use of sharp discontinuities in the admissions process. In summary, the policy of racial quotas mostly improved outcomes for the targeted group. Quota applicants, specifically males, enjoyed an increase in years of education, college completion, and labor earnings. More broadly, the results for quota and non-quota applicants confirm the importance of college quality in a setting outside of the U.S.",31,1,RePEc:eee:deveco:v:135:y:2018:i:c:p:97-116,10.1016/j.jdeveco.2018.06.017,https://ideas.repec.org/a/eee/deveco/v135y2018icp97-116.html,2020-03-09 19:07:46," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
7,Energy efficiency gains from importing intermediate inputs: Firm-level evidence from Indonesia,"['Imbruno, Michele', 'Ketterer, Tobias D.']","This paper investigates whether importing intermediate goods improves firm-level environmental performance in a developing country, using data from the Indonesian manufacturing sector. We build a simple theoretical model showing that trade integration of input markets entails energy efficiency improvements within importers relative to non-importers. To empirically isolate the impact of firm participation in foreign intermediate input markets we use ‘nearest neighbour’ propensity score matching and difference-in-difference techniques. Covering the period 1991–2005, we find evidence that becoming an importer of foreign intermediates boosts energy efficiency, implying beneficial effects for the environment.",64,0,RePEc:eee:deveco:v:135:y:2018:i:c:p:117-141,10.1016/j.jdeveco.2018.06.014,https://ideas.repec.org/a/eee/deveco/v135y2018icp117-141.html,2020-03-09 19:07:49," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
8,"Women's schooling, fertility, and child health outcomes: Evidence from Uganda's free primary education program","['Keats, Anthony']","This paper examines the role of women's education on both fertility and child health in Uganda. To identify causal effects, I exploit the timing of a national reform that eliminated primary school fees in 1997 to implement a regression discontinuity design. At the cutoff, the reform increased educational attainment by nearly one year on average, with impacts across all grade levels through the end of secondary school. Women with more schooling both delay and reduce overall fertility, increase early child health investments, and have less chronically malnourished children. In terms of mechanisms, women with additional schooling do not abstain more from sex as adolescents, but they are more likely to have used contraceptives before a first pregnancy and they delay marriage. Other downstream effects include improved employment outcomes and greater wealth.",32,6,RePEc:eee:deveco:v:135:y:2018:i:c:p:142-159,10.1016/j.jdeveco.2018.07.002,https://ideas.repec.org/a/eee/deveco/v135y2018icp142-159.html,2020-03-09 19:07:53," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
9,Branchless banking: Evaluating the doorstep delivery of financial services in rural India,"['Kochar, Anjini']","This paper evaluates the effect on household savings of India's recent financial inclusion drive, a drive that generated an unprecedented increase in access to financial institutions by using mobile technologies to deliver services practically at the doorstep of rural households. Using household data from just before and after the initiation of the policy, matched with village-level data on financial institutions, I identify the effects of access to financial institutions utilizing longitudinal variation in conjunction with geographic eligibility criterion that provided services to villages based on the size distribution of villages in the service area assigned to the bank.",23,0,RePEc:eee:deveco:v:135:y:2018:i:c:p:160-175,10.1016/j.jdeveco.2018.07.001,https://ideas.repec.org/a/eee/deveco/v135y2018icp160-175.html,2020-03-09 19:07:57," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
