,article_name,authors,url,volume,journal,journal_url,scrape_time
0,Minimum Wage and Outward FDI from China,"Fan, Haichao & Lin, Faqin & Tang, Lixin",https://ideas.repec.org/a/eee/deveco/v135y2018icp1-19.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
1,Improving or disappearing: Firm-level adjustments to minimum wages in China,"Mayneris, Florian & Poncet, Sandra & Zhang, Tao",https://ideas.repec.org/a/eee/deveco/v135y2018icp20-42.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
2,Mobile money and risk sharing against village shocks,"Riley, Emma",https://ideas.repec.org/a/eee/deveco/v135y2018icp43-58.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
3,Quality and the Great Trade Collapse,"Chen, Natalie & Juvenal, Luciana",https://ideas.repec.org/a/eee/deveco/v135y2018icp59-76.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
4,An adverse social welfare effect of a doubly gainful trade,"Stark, Oded & Zawojska, Ewa & Kohler, Wilhelm & Szczygielski, Krzysztof",https://ideas.repec.org/a/eee/deveco/v135y2018icp77-84.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
5,Vehicle ownership restrictions and fertility in Beijing,"Liu, Antung A. & Linn, Joshua & Qin, Ping & Yang, Jun",https://ideas.repec.org/a/eee/deveco/v135y2018icp85-96.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
6,Black Movement: Using discontinuities in admissions to study the effects of college quality and affirmative action,"Francis-Tan, Andrew & Tannuri-Pianto, Maria",https://ideas.repec.org/a/eee/deveco/v135y2018icp97-116.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
7,Energy efficiency gains from importing intermediate inputs: Firm-level evidence from Indonesia,"Imbruno, Michele & Ketterer, Tobias D.",https://ideas.repec.org/a/eee/deveco/v135y2018icp117-141.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
8,"Women's schooling, fertility, and child health outcomes: Evidence from Uganda's free primary education program","Keats, Anthony",https://ideas.repec.org/a/eee/deveco/v135y2018icp142-159.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
9,Branchless banking: Evaluating the doorstep delivery of financial services in rural India,"Kochar, Anjini",https://ideas.repec.org/a/eee/deveco/v135y2018icp160-175.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
10,Does improved storage technology promote modern input use and food security? Evidence from a randomized trial in Uganda,"Omotilewa, Oluwatoba J. & Ricker-Gilbert, Jacob & Ainembabazi, John Herbert & Shively, Gerald E.",https://ideas.repec.org/a/eee/deveco/v135y2018icp176-198.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
11,Measuring heterogeneity in preferences over the sex of children,"Norling, Johannes",https://ideas.repec.org/a/eee/deveco/v135y2018icp199-221.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
12,Beyond the Quantity–Quality tradeoff: Population control policy and human capital investment,"Wang, Xuebo & Zhang, Junsen",https://ideas.repec.org/a/eee/deveco/v135y2018icp222-234.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
13,Subsidies versus mental accounting nudges: Harnessing mobile payment systems to improve sanitation,"Lipscomb, Molly & Schechter, Laura",https://ideas.repec.org/a/eee/deveco/v135y2018icp235-254.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
14,Worth fighting for: Daughters improve their mothers' autonomy in South Asia,"Heath, Rachel & Tan, Xu",https://ideas.repec.org/a/eee/deveco/v135y2018icp255-271.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
15,Estimating development resilience: A conditional moments-based approach,"Cissé, Jennifer Denno & Barrett, Christopher B.",https://ideas.repec.org/a/eee/deveco/v135y2018icp272-284.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
16,Long-term effects of access to health care: Medical missions in colonial India,"Calvi, Rossella & Mantovanelli, Federico G.",https://ideas.repec.org/a/eee/deveco/v135y2018icp285-303.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
17,Time use impacts of rural electrification: Longitudinal evidence from Guatemala,"Grogan, Louise",https://ideas.repec.org/a/eee/deveco/v135y2018icp304-317.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
18,The heterogeneous effect of information on student performance: Evidence from a randomized control trial in Mexico,"Avitabile, Ciro & de Hoyos, Rafael",https://ideas.repec.org/a/eee/deveco/v135y2018icp318-348.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
19,Cash transfers and labor supply: Evidence from a large-scale program in Iran,"Salehi-Isfahani, Djavad & Mostafavi-Dehzooei, Mohammad H.",https://ideas.repec.org/a/eee/deveco/v135y2018icp349-367.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
20,The economics behind the math gender gap: Colombian evidence on the role of sample selection,"Muñoz, Juan Sebastián",https://ideas.repec.org/a/eee/deveco/v135y2018icp368-391.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
21,Antiretroviral drug access and behavior change,"Friedman, Willa Helterline",https://ideas.repec.org/a/eee/deveco/v135y2018icp392-411.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
